word,surprise,anger,sadness,happy,fear
davis ,0.035714287,0.107142866,0.035714287,0.035714287,0.035714287
deal ,0.022827689,0.01988218,0.040500738,0.025773196,0.036082473
dealer ,0.014285715,0.071428575,0.014285715,0.071428575,0.014285715
death ,0.010091018,0.008508112,0.020379897,0.010486745,0.09200634
debt ,0.017857144,0.029761905,0.017857144,0.065476194,0.029761905
decided ,0.018518519,0.023809526,0.032039978,0.039682545,0.025573192
decisions ,0.02813853,0.015151517,0.032467537,0.015151517,0.04978355
dedicated ,0.032467537,0.032467537,0.01948052,0.05844156,0.01948052
deep ,0.030691966,0.021763394,0.020647323,0.03404018,0.03292411
defense ,0.05102041,0.010204082,0.010204082,0.05102041,0.05102041
define ,0.011904763,0.05952381,0.035714287,0.011904763,0.05952381
degree ,0.045454547,0.02813853,0.01948052,0.045454547,0.010822511
degrees ,0.035714287,0.05,0.06428572,0.007142858,0.007142858
delete ,0.014285715,0.052380957,0.042857148,0.023809526,0.023809526
delivered ,0.023809526,0.071428575,0.023809526,0.023809526,0.023809526
delivery ,3.65E-05,2.33E-05,3.32E-06,9.97E-06,3.65E-05
delta ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
depth ,0.02631579,0.018796993,0.02631579,0.018796993,0.06390978
des ,0.071428575,0.071428575,0.023809526,0.023809526,0.023809526
designated ,0.071428575,0.023809526,0.023809526,0.023809526,0.071428575
designer ,0.042857148,0.071428575,0.014285715,0.014285715,0.042857148
designs ,0.08730159,0.023809526,0.007936508,0.007936508,0.039682545
desk ,0.016233768,0.042207796,0.042207796,0.02922078,0.016233768
despite ,0.02910053,0.028042328,0.033333335,0.020634923,0.02910053
destination ,0.011904763,0.011904763,0.035714287,0.035714287,0.05952381
determined ,0.010317462,0.005555556,0.010317462,0.11190477,0.007142858
diamond ,0.014285715,0.014285715,0.042857148,0.071428575,0.042857148
die ,0.006588073,0.008668516,0.008668516,0.007975034,0.11199723
died ,0.003468654,0.003468654,0.028134637,0.002697842,0.1049589
diet ,0.030219782,0.004578755,0.09615385,0.002747253,0.010073261
dining ,0.011904763,0.051587302,0.003968254,0.019841272,0.003968254
dinner ,0.021625165,0.033420708,0.024246398,0.025557013,0.015072085
direction ,0.023351649,0.020604398,0.026098901,0.03159341,0.04532967
directors ,0.014285715,0.071428575,0.014285715,0.042857148,0.042857148
disc ,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
discount ,0.125,0.017857144,0.017857144,0.017857144,0.017857144
discover ,0.071428575,0.013227513,0.007936508,0.013227513,0.039682545
discuss ,0.011160715,0.029017858,0.020089287,0.015625,0.055803575
discussions ,0.026785716,0.04464286,0.008928572,0.008928572,0.08035715
disease ,0.022959184,0.053571433,0.04336735,0.007653062,0.022959184
disney ,0.05,0.05,0.035714287,0.021428574,0.007142858
displayed ,0.05952381,0.011904763,0.011904763,0.035714287,0.035714287
distributed ,0.023809526,0.023809526,0.023809526,0.023809526,0.11904762
dj ,0.05952381,0.035714287,0.035714287,0.035714287,0.011904763
doc ,0.011904763,0.011904763,0.05952381,0.035714287,0.05952381
doctor ,0.021335807,0.008348795,0.038033396,0.021335807,0.051020406
